month,pct,quantity_of_plasters,rx_items,actual_cost,net_cost
2018-06-01,18C,2455.0,79,5501.03765,5924.74
2018-06-01,01H,2030.0,68,4539.142029999999,4888.21
2021-05-01,10Q,8635.0,321,18312.377829999998,19646.559999999998
2021-05-01,04Y,500.0,16,1084.25045,1163.22
2021-05-01,04V,8925.0,257,17674.85993,18963.34
2015-06-01,04C,4840.0,155,11174.27191,12078.21
2015-06-01,93C,4560.0,148,12146.53483,13129.14
2018-03-01,52R,11065.0,318,24757.5652,26687.23
2021-11-01,15C,2685.0,81,5435.355590000001,5824.579999999999
2017-10-01,02G,5595.0,184,12491.510919999999,13502.55
2021-02-01,11M,3960.0,126,8181.96544,8780.279999999999
2017-06-01,02P,2640.0,83,5897.05223,6371.18
2017-03-01,02P,3115.0,100,6961.953530000001,7517.51
2018-02-01,03L,2815.0,102,6309.21826,6793.5599999999995
2018-02-01,14L,4660.0,149,10441.911329999997,11246.11
2017-08-01,06T,4640.0,149,10376.679380000001,11197.850000000002
2017-08-01,02H,1510.0,45,3366.3111800000006,3633.2699999999995
2021-09-01,84H,9830.0,351,21699.97344,23261.49
2021-09-01,99A,20830.0,687,46029.34668000001,49346.69
2017-05-01,00R,1265.0,40,2828.53879,3052.8599999999997
2015-01-01,11X,1025.0,34,2288.89037,2473.6499999999996
2015-01-01,11J,1180.0,39,2635.56595,2847.73
2016-10-01,00N,1030.0,34,2301.70954,2485.73
2021-01-01,11X,2120.0,67,4572.0793699999995,4909.92
2018-10-01,09D,3115.0,103,6971.24773,7517.550000000001
2017-01-01,99E,1055.0,29,2359.88218,2546.07
2017-01-01,05Q,1035.0,33,2315.76605,2497.79
2017-09-01,16C,17400.0,562,38886.78095,41991.98999999999
2017-09-01,15C,2625.0,77,5866.3933400000005,6335.009999999999
2018-04-01,01Y,895.0,31,2005.2850300000002,2159.92
2018-04-01,03N,4970.0,157,11115.571220000002,11972.52
2019-08-01,05Q,1680.0,54,3540.5738899999997,3811.8500000000004
2019-08-01,15A,9870.0,303,19782.129930000003,21300.08
2021-07-01,14Y,2080.0,63,4673.355079999999,5008.860000000001
2016-06-01,01X,13965.0,488,31245.76032,33702.17
2015-08-01,B2M3M,2920.0,110,6524.0648,7046.880000000001
2015-08-01,09D,3695.0,126,9053.53686,9780.36
2018-08-01,15N,35260.0,1119,72848.1792,78484.01999999999
2018-08-01,01H,1830.0,64,4099.6852,4416.39
2018-08-01,07H,1105.0,36,2474.8770999999997,2666.73
2015-04-01,99A,19520.0,656,43594.96572,47108.130000000005
2015-04-01,02T,4275.0,148,9546.42051,10316.949999999999
2015-04-01,02M,1805.0,60,4030.3554700000004,4356.0599999999995
2020-09-01,D2P2L,7240.0,208,15428.302559999996,16609.140000000003
2020-09-01,15C,2790.0,93,5744.871210000001,6182.98
2020-09-01,91Q,17795.0,562,37091.56375999999,39927.97
2016-02-01,13T,5750.0,180,12849.94051,13876.65
2015-03-01,02E,2375.0,64,5301.906980000001,5731.700000000001
2017-07-01,D4U1Y,3955.0,125,8834.96323,9544.720000000001
2016-05-01,00Q,2930.0,109,6551.16841,7071.06
2016-09-01,14L,5935.0,194,13271.20685,14323.099999999999
2020-04-01,11N,11885.0,383,23800.84728,25594.64
2015-02-01,X2C4Y,2945.0,129,6585.702370000001,7107.299999999999
2016-04-01,02P,2540.0,85,5674.984769999999,6129.840000000001
2016-04-01,03K,1110.0,33,2479.42765,2678.8
2016-04-01,92G,2810.0,92,6278.56272,6781.46
2016-04-01,11X,1705.0,56,3809.3722000000002,4114.719999999999
2019-09-01,92A,6620.0,200,14799.264470000002,15932.82
2019-09-01,06N,5245.0,156,10283.36911,11070.54
2019-09-01,06Q,3315.0,98,6507.12886,7006.51
2019-04-01,72Q,35205.0,1099,75016.24398999999,80566.63
2019-04-01,00P,2520.0,78,5651.99803,6081.6
2017-06-01,10R,830.0,24,1854.20223,2003.0800000000002
2016-01-01,06N,3830.0,112,8557.44164,9243.060000000003
2015-10-01,D9Y0V,15885.0,530,36027.9814,38987.4
2015-10-01,05D,1215.0,31,2708.99105,2932.2000000000007
2015-07-01,03K,635.0,21,1417.02169,1532.4700000000003
2020-05-01,01V,5160.0,167,11559.11855,12431.07
2020-05-01,01H,1665.0,55,3706.16671,3985.6099999999997
2018-09-01,18C,2400.0,72,5376.147199999999,5791.999999999999
2019-06-01,00Y,815.0,29,1798.35141,1934.29
2019-01-01,26A,3825.0,115,8559.07167,9220.130000000001
2019-12-01,72Q,27360.0,824,58087.13973999999,62417.82
2017-12-01,27D,9915.0,307,22171.72705,23917.31
2017-12-01,01K,2855.0,102,6367.62105,6868.34
2017-12-01,M1J4Y,8600.0,246,19171.871,20684.09
2021-10-01,01D,1285.0,41,2856.19147,3063.12
2021-10-01,02Y,2230.0,70,4985.865760000001,5349.139999999999
2021-10-01,15C,2880.0,89,5897.361140000001,6325.98
2019-11-01,15C,2630.0,80,5369.91179,5775.12
2016-08-01,02A,3345.0,104,7481.5908,8072.6
2016-08-01,D9Y0V,19995.0,654,44725.545779999986,48254.58
2020-02-01,06T,3495.0,112,7146.6285800000005,7674.37
2020-03-01,92A,6850.0,203,15340.23902,16509.589999999997
2020-03-01,02H,940.0,33,2067.6810299999997,2225.08
2019-03-01,11N,11865.0,378,25514.6739,27454.030000000002
